pair,obj_a,obj_b,co_occ_scene_counts,co_occ_phrase_counts,co_occ_phrase_prop,co_occ_anchored_counts,co_occ_anchored_prop,co_occ_type_counts,co_occ_type_prop,avg_distance_norm,avg_spatial_rel_norm
air conditioner-sign,air conditioner,sign,6,2,0.3333333333333333,0,0,4,0.6666666666666666,0.4047161989218871,0.23137583601253883
air conditioner-sky,air conditioner,sky,4,3,0.75,0,0,3,0.75,0.47668534287475817,-0.42250808794150574
air conditioner-streetlight,air conditioner,streetlight,3,0,0,0,0,3,1,0.2721635087865907,0.163750987641693
air conditioner-terrace,air conditioner,terrace,1,1,1,0,0,1,1,0.29085607968432975,-0.05905037782290301
air conditioner-trash can,air conditioner,trash can,3,0,0,0,0,3,1,0.33679230062050625,0.009107359935313716
air conditioner-tree,air conditioner,tree,8,1,0.125,1,0.125,6,0.75,0.4839725256874199,0.12113079157232312
air conditioner-van,air conditioner,van,2,0,0,0,0,2,1,0.5332176979500229,0.2368858153898465
air conditioner-wheel,air conditioner,wheel,4,0,0,0,0,4,1,0.8569093687328835,0.647922376659826
airplane-building,airplane,building,2,0,0,0,0,2,1,0.6619967075629255,0.5922192717089544
airplane-house,airplane,house,2,0,0,0,0,2,1,0.6071160131487265,0.47786012421539964
airplane-ocean,airplane,ocean,1,0,0,0,0,0,0,0.3287783532575386,0.22226394720646903
airplane-sky,airplane,sky,2,2,1,2,1,0,0,0.25550501789130825,-0.029398172922977472
airplane-skyscraper,airplane,skyscraper,1,0,0,0,0,0,0,0.4348111914353105,0.43045825884877204
airplane-tree,airplane,tree,3,0,0,0,0,2,0.6666666666666666,0.49165560010419257,0.4274505087246355
alarm clock-armchair,alarm clock,armchair,1,0,0,0,0,1,1,0.23222351174789624,0.19230248221376606
alarm clock-bed,alarm clock,bed,3,2,0.6666666666666666,2,0.6666666666666666,0,0,0.3865235553355568,0.07478667144479069
alarm clock-bench,alarm clock,bench,1,0,0,0,0,1,1,0.8222665494526407,0.017285241110641003
alarm clock-book,alarm clock,book,3,1,0.3333333333333333,0,0,3,1,0.48722861249698646,-0.10232487639214734
alarm clock-bookshelf,alarm clock,bookshelf,1,0,0,0,0,1,1,0.6931553113072855,-0.24762143618317906
alarm clock-bouquet,alarm clock,bouquet,1,1,1,0,0,1,1,0.09847835886297056,-0.03243859546471095
alarm clock-carpet,alarm clock,carpet,1,0,0,0,0,0,0,0.5852025349102192,0.261941862331618
alarm clock-chair,alarm clock,chair,2,1,0.5,0,0,2,1,0.492835014641434,-0.15994723860526402
alarm clock-desk,alarm clock,desk,1,0,0,0,0,1,1,0.7980562748917643,-0.04362813302986002
alarm clock-dresser,alarm clock,dresser,2,0,0,0,0,1,0.5,0.4382300109792673,0.031165571251033503
alarm clock-file,alarm clock,file,1,0,0,0,0,1,1,0.6555137547188992,-0.18305431154442403
alarm clock-lamp,alarm clock,lamp,2,1,0.5,0,0,1,0.5,0.37496137078225283,-0.24672732375237996
alarm clock-laptop,alarm clock,laptop,2,1,0.5,0,0,2,1,0.6341826920658133,-0.18744666839852955
alarm clock-magazine,alarm clock,magazine,2,0,0,0,0,2,1,0.7034821436027976,0.09807476848080518
alarm clock-mirror,alarm clock,mirror,1,0,0,0,0,1,1,0.8913989916310532,-0.221883298275451
alarm clock-nightstand,alarm clock,nightstand,3,3,1,1,0.3333333333333333,2,0.6666666666666666,0.1417697328571833,0.13154193707917702
alarm clock-painting,alarm clock,painting,4,3,0.75,0,0,4,1,0.49100721649466,-0.393532317728425
alarm clock-pillow,alarm clock,pillow,5,3,0.6,0,0,5,1,0.29193319860915135,-0.04259399166434398
alarm clock-radio,alarm clock,radio,2,0,0,0,0,2,1,0.6935303913977025,-0.19612918379746405
alarm clock-slippers,alarm clock,slippers,1,0,0,0,0,0,0,0.4117957976084949,0.36060053141792603
alarm clock-teddy bear,alarm clock,teddy bear,1,0,0,0,0,1,1,0.5087854240489852,-0.25197696409524506
alarm clock-wardrobe,alarm clock,wardrobe,2,0,0,0,0,1,0.5,0.7324378145188393,-0.26565641895455805
antenna-antenna,antenna,antenna,11,6,0.5454545454545454,0,0,8,0.7272727272727273,0.3305603988292977,0.08871596217090537
antenna-boat,antenna,boat,2,0,0,0,0,2,1,0.8335970401225237,0.8135593074174364
antenna-bridge,antenna,bridge,6,1,0.16666666666666666,1,0.16666666666666666,5,0.8333333333333334,0.7990107364613397,0.6647195370034693
antenna-building,antenna,building,264,36,0.13636363636363635,9,0.03409090909090909,200,0.7575757575757576,0.6764961817051042,0.5577476150725456
antenna-bus,antenna,bus,1,0,0,0,0,1,1,0.4015847711442404,0.40125647063815306
antenna-car,antenna,car,25,0,0,0,0,25,1,0.565534629033476,0.4164715645164911
antenna-clock,antenna,clock,1,0,0,0,0,0,0,0.4323797238075115,0.429368446467991
antenna-crane,antenna,crane,2,0,0,0,0,2,1,0.7288207066783151,0.49693664163344803
antenna-dock,antenna,dock,3,0,0,0,0,2,0.6666666666666666,0.8035121666603673,0.7647486804560972
antenna-dome,antenna,dome,2,0,0,0,0,0,0,0.7844532727506613,0.529367415746492
antenna-field,antenna,field,1,1,1,1,1,0,0,0.3962150460905344,0.36596221758101605
antenna-flag,antenna,flag,4,3,0.75,1,0.25,3,0.75,0.310710008209824,0.13518814889821526
antenna-fountain,antenna,fountain,1,0,0,0,0,1,1,0.4849907156367613,0.45063174525568594
antenna-grass,antenna,grass,1,0,0,0,0,0,0,0.8380497146991204,0.7299076038217439
antenna-hill,antenna,hill,1,1,1,0,0,1,1,0.39893320487183165,0.04470382869489309
antenna-mast,antenna,mast,5,0,0,0,0,4,0.8,0.5997384878357598,0.5625797937872677
antenna-obelisk,antenna,obelisk,2,0,0,0,0,1,0.5,0.4490848035450554,0.297847671812749
antenna-plant,antenna,plant,4,0,0,0,0,2,0.5,0.8484216026426658,0.7034937676729875
antenna-pole,antenna,pole,1,0,0,0,0,1,1,0.3627666184339172,0.35941425879397004
antenna-poster,antenna,poster,11,5,0.45454545454545453,0,0,11,1,0.35159722435755125,0.29207131515817003
antenna-quay,antenna,quay,1,0,0,0,0,1,1,0.9024003515490603,0.9023781196929993
antenna-river,antenna,river,9,0,0,0,0,5,0.5555555555555556,0.8382641526694852,0.8052390777291407
antenna-road,antenna,road,12,2,0.16666666666666666,0,0,7,0.5833333333333334,0.7054878432071731,0.6617275937434828
antenna-shop window,antenna,shop window,6,4,0.6666666666666666,0,0,6,1,0.6139830028477313,0.5621527746209555
antenna-sidewalk,antenna,sidewalk,3,0,0,0,0,3,1,0.8087738909156958,0.733253077988295
antenna-sign,antenna,sign,15,3,0.2,0,0,15,1,0.6540524273902775,0.44880715387952586
antenna-sky,antenna,sky,39,30,0.7692307692307693,29,0.7435897435897436,7,0.1794871794871795,0.2577050258002627,0.028503423209272336
antenna-skyscraper,antenna,skyscraper,103,35,0.33980582524271846,3,0.02912621359223301,75,0.7281553398058253,0.497251508748163,0.35457616046882284
antenna-stand,antenna,stand,3,0,0,0,0,3,1,0.7101667472613417,0.6375181617113831
antenna-statue,antenna,statue,1,0,0,0,0,1,1,0.5437725202262811,0.37239382704160284
antenna-streetlight,antenna,streetlight,5,1,0.2,0,0,4,0.8,0.5711706349303007,0.3696685074818024
antenna-tower,antenna,tower,1,0,0,0,0,0,0,0.4214721006394925,0.421208431765912
antenna-traffic light,antenna,traffic light,1,0,0,0,0,0,0,0.7081711416383376,0.705533278023599
antenna-tree,antenna,tree,31,3,0.0967741935483871,0,0,22,0.7096774193548387,0.7148296731935564,0.6148894503054861
antenna-weathervane,antenna,weathervane,1,0,0,0,0,1,1,0.44832548399058164,0.07074652777777701
apple-apple,apple,apple,2,2,1,0,0,2,1,0.03981022327960902,-0.0029587555348239702
apple-basket,apple,basket,2,0,0,0,0,2,1,0.3994725592614095,-0.3747735396429244
apple-blanket,apple,blanket,1,0,0,0,0,1,1,0.42782181518048995,0.004650169922087
apple-book,apple,book,9,3,0.3333333333333333,0,0,9,1,0.2999706417405548,0.0026938738503976207
apple-bookshelf,apple,bookshelf,1,1,1,1,1,0,0,0.16652597022050422,-0.14931435927534298
apple-bouquet,apple,bouquet,4,0,0,0,0,4,1,0.6411176749598803,-0.16523443471255098
apple-bowl,apple,bowl,8,6,0.75,0,0,8,1,0.2568382619010803,-0.010237386310966469
apple-box,apple,box,4,0,0,0,0,4,1,0.3422707138923614,-0.2841476827104655
apple-cabinet,apple,cabinet,6,2,0.3333333333333333,2,0.3333333333333333,0,0,0.39027091789172447,-0.04014659088724515
apple-cake,apple,cake,4,0,0,0,0,4,1,0.9093087250107492,-0.017934058534894992
apple-cake stand,apple,cake stand,2,0,0,0,0,2,1,0.8953715661667485,-0.025034072871649438
apple-calendar,apple,calendar,2,1,0.5,0,0,2,1,0.3514891384483495,0.258040278462505
apple-candle,apple,candle,4,0,0,0,0,4,1,0.30958701705824104,-0.11640327906792879
apple-candle holder,apple,candle holder,1,0,0,0,0,1,1,0.19344305114527738,-0.15647281245524003
apple-canister,apple,canister,8,6,0.75,0,0,8,1,0.28693419225432676,-0.07981813600034673
apple-certificate,apple,certificate,1,1,1,0,0,1,1,0.10294934877388075,-0.10175760892224306
apple-chair,apple,chair,9,0,0,0,0,5,0.5555555555555556,0.5427043099613631,0.2008175082449747
apple-chandelier,apple,chandelier,2,0,0,0,0,1,0.5,0.5187137412064533,-0.4656677926083755
apple-chessboard,apple,chessboard,1,0,0,0,0,1,1,0.5706532703546087,0.11984052539793297
apple-coffee table,apple,coffee table,1,0,0,0,0,0,0,0.16033018074811461,0.08999045318400198
apple-computer monitor,apple,computer monitor,1,0,0,0,0,1,1,0.48999405372232985,0.16777380670847897
apple-counter,apple,counter,4,2,0.5,0,0,4,1,0.18871608081536057,0.012880062029513487
apple-cup,apple,cup,2,2,1,0,0,2,1,0.11693833624244215,-0.04303930088117153
apple-desk,apple,desk,1,0,0,0,0,0,0,0.3812242199987363,0.36677948699929497
apple-end table,apple,end table,1,0,0,0,0,1,1,0.2368646972393216,0.23004950931996476
apple-faucet,apple,faucet,2,2,1,0,0,2,1,0.07641174632796213,-0.07419403871970248
apple-frame,apple,frame,2,0,0,0,0,2,1,0.4514015885963071,-0.39287968206187446
apple-jar,apple,jar,4,0,0,0,0,4,1,0.4501931663490491,-0.449202492134171
apple-light,apple,light,3,3,1,0,0,3,1,0.3727584590009768,-0.20020763068993566
apple-microwave,apple,microwave,2,0,0,0,0,2,1,0.47159804497722346,-0.3678527758446215
apple-mug,apple,mug,1,1,1,0,0,1,1,0.18253935249336653,0.17845219777271298
apple-object,apple,object,27,17,0.6296296296296297,0,0,25,0.9259259259259259,0.3085466414637485,0.055170597402473216
apple-paper,apple,paper,10,6,0.6,0,0,10,1,0.36420036480209694,0.2469247605688678
apple-pasta,apple,pasta,2,0,0,0,0,2,1,0.5689752318730534,-0.1587411459144805
apple-pedestal,apple,pedestal,2,0,0,0,0,2,1,0.4468954460074961,0.11824041657573053
apple-pen holder,apple,pen holder,1,0,0,0,0,1,1,0.516527578441345,0.260569713359717
apple-pepper shaker,apple,pepper shaker,2,2,1,0,0,2,1,0.1209745532314987,-0.034967908276068466
apple-picture,apple,picture,2,1,0.5,0,0,1,0.5,0.41785411599748185,-0.20860540237701553
apple-pie,apple,pie,2,0,0,0,0,2,1,0.9109581558087333,-0.016583737595250503
apple-pillow,apple,pillow,5,3,0.6,0,0,5,1,0.19307865867431442,-0.021422728801809638
apple-plant,apple,plant,11,2,0.18181818181818182,0,0,9,0.8181818181818182,0.5085998117687265,-0.12208671634510634
apple-plate,apple,plate,4,0,0,0,0,4,1,0.717610954361993,-0.197012733046289
apple-pot,apple,pot,3,0,0,0,0,3,1,0.3041083187821443,-0.08292592597473832
apple-salt shaker,apple,salt shaker,2,2,1,0,0,2,1,0.15528375203752004,-0.02035351655718151
apple-shelf,apple,shelf,2,0,0,0,0,2,1,0.7880039625315163,-0.37925050268149246
apple-sofa,apple,sofa,2,1,0.5,1,0.5,0,0,0.21202832235998653,0.03967734883771497
apple-stool,apple,stool,1,1,1,0,0,1,1,0.36508804525668903,0.36051444442123903
apple-stove top,apple,stove top,2,0,0,0,0,2,1,0.30595207404520874,-0.015731131609740462
apple-table,apple,table,3,0,0,0,0,2,0.6666666666666666,0.64383803525622,0.15162936243306668
apple-telephone,apple,telephone,1,0,0,0,0,1,1,0.2772775080545909,0.176774877903635
apple-television,apple,television,1,1,1,0,0,1,1,0.19725912961231776,-0.18654324342536105
apple-tissue,apple,tissue,2,1,0.5,0,0,2,1,0.2707508208849752,0.145507205455579
apple-towel,apple,towel,4,4,1,2,0.5,2,0.5,0.10302624249953955,0.08607990932757352
apple-trash can,apple,trash can,1,1,1,0,0,1,1,0.44347518280222725,0.439189386256589
apple-tray,apple,tray,2,0,0,0,0,2,1,0.42258859703320295,-0.42212071263291345
apple-white out,apple,white out,1,0,0,0,0,1,1,0.573144337323965,0.400809950808678
apple-wind chime,apple,wind chime,1,1,1,0,0,1,1,0.36834487179557174,-0.324211779793417
apple-wine rack,apple,wine rack,2,0,0,0,0,0,0,0.311526211281395,-0.2387659563130115
arcade-arcade,arcade,arcade,4,2,0.5,0,0,4,1,0.29941757637202643,0.027860008405023756
arcade-attic,arcade,attic,12,8,0.6666666666666666,0,0,12,1,0.300868122783959,-0.14476588966309945
arcade-awning,arcade,awning,4,0,0,0,0,2,0.5,0.41519036931063735,-0.0077612758267592355
arcade-balcony,arcade,balcony,13,1,0.07692307692307693,0,0,13,1,0.5407298898139666,-0.40859764024379847
arcade-bench,arcade,bench,1,0,0,0,0,1,1,0.38925326857958664,0.3842646657495165
arcade-building,arcade,building,35,16,0.45714285714285713,11,0.3142857142857143,15,0.42857142857142855,0.38143542252154017,-0.19868264275428532
arcade-car,arcade,car,29,8,0.27586206896551724,0,0,29,1,0.4436575472528713,0.10442837906869616
arcade-chimney,arcade,chimney,6,4,0.6666666666666666,0,0,6,1,0.3307825274028737,-0.2279034985123822
arcade-dome,arcade,dome,2,0,0,0,0,1,0.5,0.6349314559840242,-0.5337150042307555
arcade-fountain,arcade,fountain,5,3,0.6,0,0,4,0.8,0.2051886817434188,0.1569679766372578
arcade-grass,arcade,grass,15,7,0.4666666666666667,0,0,15,1,0.3979107695687932,0.1476198560204308
arcade-hedge,arcade,hedge,12,5,0.4166666666666667,1,0.08333333333333333,9,0.75,0.42721546456917076,0.1659532570154498
arcade-light,arcade,light,5,3,0.6,0,0,5,1,0.26271353879748066,-0.0743195108705126
arcade-mountain,arcade,mountain,5,0,0,0,0,5,1,0.7698743200524291,-0.5917607476755282
arcade-obelisk,arcade,obelisk,1,0,0,0,0,1,1,0.6538979472545196,-0.190308625598971
arcade-path,arcade,path,1,1,1,0,0,1,1,0.1150602055624308,0.08568585494241501
arcade-pedestal,arcade,pedestal,1,0,0,0,0,0,0,0.46537541672608057,0.236386944581845
arcade-person,arcade,person,12,9,0.75,0,0,12,1,0.2547793530421186,0.15057799800481375
arcade-plant,arcade,plant,2,1,0.5,0,0,2,1,0.4171171301024198,0.24662216314217802
arcade-plant pot,arcade,plant pot,1,0,0,0,0,1,1,0.45239982201637485,0.03477094950433701
arcade-pole,arcade,pole,9,3,0.3333333333333333,0,0,8,0.8888888888888888,0.5074694610122751,0.15797576604918312
arcade-pond,arcade,pond,1,0,0,0,0,1,1,0.31018877308894555,0.29901093890239006
arcade-porch,arcade,porch,1,0,0,0,0,0,0,0.6519695299174565,-0.34122209101627904
arcade-poster,arcade,poster,3,2,0.6666666666666666,0,0,3,1,0.3231464476258578,-0.060149869701720336
arcade-road,arcade,road,14,5,0.35714285714285715,1,0.07142857142857142,10,0.7142857142857143,0.3646408828959265,0.21733762106315632
arcade-shop window,arcade,shop window,1,1,1,0,0,1,1,0.33735455671648756,0.137657454621454
arcade-sidewalk,arcade,sidewalk,13,7,0.5384615384615384,3,0.23076923076923078,8,0.6153846153846154,0.3005056662687379,0.21899473161424085
arcade-site office,arcade,site office,2,0,0,0,0,2,1,0.39468187327930554,0.0490428794339475
arcade-sky,arcade,sky,13,3,0.23076923076923078,2,0.15384615384615385,3,0.23076923076923078,0.6299730393326336,-0.5366150253883984
arcade-statue,arcade,statue,1,0,0,0,0,1,1,0.536539646691787,-0.042684356417220015
arcade-terrace,arcade,terrace,11,2,0.18181818181818182,0,0,7,0.6363636363636364,0.43323211724435323,-0.3415516582311692
arcade-traffic light,arcade,traffic light,1,1,1,0,0,1,1,0.33577309978506564,-0.013260359098569985
arcade-tree,arcade,tree,6,0,0,0,0,6,1,0.6299434897224626,-0.482461314463676
arcade-truck,arcade,truck,3,0,0,0,0,3,1,0.2696136463369555,0.09192570561342166
arcade-umbrella,arcade,umbrella,1,1,1,0,0,1,1,0.07213281966761545,0.052839771200256014
arcade-van,arcade,van,2,2,1,0,0,2,1,0.21247994802193915,0.09538270398693979
armchair-armchair,armchair,armchair,106,53,0.5,11,0.10377358490566038,78,0.7358490566037735,0.4051112644974729,2.4063588636866027e-4
armchair-ashtray,armchair,ashtray,8,2,0.25,0,0,6,0.75,0.41132457206564615,0.15185170951166485
armchair-basket,armchair,basket,6,4,0.6666666666666666,3,0.5,2,0.3333333333333333,0.36216325779676234,-0.18845867753653484
armchair-bathrobe,armchair,bathrobe,1,1,1,0,0,1,1,0.15577178759108,0.121906081130854
armchair-bed,armchair,bed,19,3,0.15789473684210525,3,0.15789473684210525,5,0.2631578947368421,0.5088509585545646,-0.0960501394749071
armchair-bench,armchair,bench,4,2,0.5,1,0.25,3,0.75,0.27120173177737017,-0.07302088399397674
armchair-blanket,armchair,blanket,15,8,0.5333333333333333,3,0.2,7,0.4666666666666667,0.38699831967635107,-0.005304478316844286
armchair-book,armchair,book,116,34,0.29310344827586204,11,0.09482758620689655,54,0.46551724137931033,0.4911177619348106,-0.15650526021228328
armchair-bookshelf,armchair,bookshelf,26,4,0.15384615384615385,4,0.15384615384615385,13,0.5,0.49582418536065553,-0.240315259611662
armchair-bottle,armchair,bottle,6,1,0.16666666666666666,1,0.16666666666666666,2,0.3333333333333333,0.5182558051962036,-0.3582544765177651
armchair-bouquet,armchair,bouquet,64,25,0.390625,6,0.09375,38,0.59375,0.39534287534071605,-0.1879706412266578
armchair-bowl,armchair,bowl,21,5,0.23809523809523808,2,0.09523809523809523,13,0.6190476190476191,0.362186451592085,-0.06984747489455095
armchair-box,armchair,box,37,10,0.2702702702702703,3,0.08108108108108109,13,0.35135135135135137,0.455001195442092,0.013927566433755693
armchair-bread,armchair,bread,1,0,0,0,0,0,0,0.6310454800076335,-0.3361294664664579
armchair-bucket,armchair,bucket,1,0,0,0,0,1,1,0.2738975181010349,0.062921615299396
armchair-buffet,armchair,buffet,2,1,0.5,0,0,2,1,0.30569964505152475,-0.27527096616373214
armchair-cabinet,armchair,cabinet,107,57,0.5327102803738317,12,0.11214953271028037,74,0.6915887850467289,0.47428882861659605,-0.25485117282976966
armchair-candle,armchair,candle,66,24,0.36363636363636365,8,0.12121212121212122,44,0.6666666666666666,0.41375122445693574,-0.16261092723155082
armchair-carpet,armchair,carpet,1,0,0,0,0,1,1,0.41050930450271783,-0.06936097483430591
armchair-case,armchair,case,3,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.4149956766057623,-0.2625062741171803
armchair-cat,armchair,cat,1,1,1,1,1,0,0,0.2825637207199419,-0.201925628316183
armchair-cds,armchair,cds,2,1,0.5,1,0.5,1,0.5,0.5980912497474832,-0.20797079483033604
armchair-chair,armchair,chair,172,64,0.37209302325581395,17,0.09883720930232558,118,0.686046511627907,0.4384229309586335,-0.06093506096421343
armchair-chaise lounge,armchair,chaise lounge,2,0,0,0,0,0,0,0.7171311671821936,-0.108754197375943
armchair-chandelier,armchair,chandelier,1,0,0,0,0,1,1,0.6331210029237,-0.5801285457295621
armchair-chessboard,armchair,chessboard,3,1,0.3333333333333333,1,0.3333333333333333,0,0,0.26701871487025347,-0.15894460708100003
armchair-chest,armchair,chest,1,1,1,1,1,0,0,0.15805493173807963,0.071253957413427
armchair-china hutch,armchair,china hutch,1,0,0,0,0,1,1,0.879283062057075,-0.7301422079563289
armchair-clock,armchair,clock,9,2,0.2222222222222222,1,0.1111111111111111,5,0.5555555555555556,0.5570042762603311,-0.33176512369971967
armchair-coffee table,armchair,coffee table,3,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,0.3354955229153713,0.09580409962131932
armchair-computer,armchair,computer,1,0,0,0,0,1,1,0.3440580093993448,-0.144689104782525
armchair-computer monitor,armchair,computer monitor,1,0,0,0,0,1,1,0.3803129194008859,-0.27744605943241907
armchair-counter,armchair,counter,35,19,0.5428571428571428,3,0.08571428571428572,25,0.7142857142857143,0.4583179315925836,-0.21251098335696608
armchair-crib,armchair,crib,1,0,0,0,0,1,1,0.24430094801251784,0.130335159019131
armchair-cup,armchair,cup,20,0,0,0,0,18,0.9,0.4316128618599444,0.059771404631878404
armchair-desk,armchair,desk,14,13,0.9285714285714286,3,0.21428571428571427,10,0.7142857142857143,0.3419791642809158,-0.11691110520196044
armchair-dishwasher,armchair,dishwasher,2,1,0.5,1,0.5,0,0,0.4279528357159992,-0.337368720687895
armchair-display case,armchair,display case,4,1,0.25,1,0.25,1,0.25,0.4995982223679799,-0.30553033527446
armchair-dresser,armchair,dresser,8,2,0.25,1,0.125,4,0.5,0.5065745555886689,-0.09208451669621823
armchair-dressing screen,armchair,dressing screen,5,2,0.4,2,0.4,3,0.6,0.3837371670876659,-0.2635896393975294
armchair-entertainment center,armchair,entertainment center,2,0,0,0,0,1,0.5,0.3818851939516584,-0.29936119079534707
armchair-fan,armchair,fan,15,5,0.3333333333333333,0,0,11,0.7333333333333333,0.5713071876408682,-0.4995526117730206
armchair-file,armchair,file,2,0,0,0,0,1,0.5,0.48917754279490483,-0.3806957011529589
armchair-fireplace,armchair,fireplace,34,13,0.38235294117647056,4,0.11764705882352941,19,0.5588235294117647,0.40586988449741546,-0.15073829171260117
armchair-frame,armchair,frame,1,0,0,0,0,1,1,0.9077412403376112,-0.40621073268376606
armchair-fruit bowl,armchair,fruit bowl,5,2,0.4,0,0,5,1,0.34118840454289684,0.198799514435934
armchair-glasses,armchair,glasses,3,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.48120081252834673,-0.3502107197324493
